"Row.names" "Gene_Name" "FeatureStart" "FeatureEnd" "P1_nonsyn" "P2_nonsyn" "P1_syn" "P2_syn" "D_nonsyn" "D_syn" "exon_length" "length" "Dtotal" "Dn_cont" "Ds_cont" "Dtotal_cont" "dif_or_not" "dnds" "logFC" "logCPM" "PValue" "fdr" "Chromosome" "Bias"
"27" "ATP5ME" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0597710604321061 6.10959803946577 0.70855018170857 0.93997838763018 "Z" "Unbias"
"28" "AUH" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.146608736513905 3.59931048402926 0.565331854187728 0.886738811494933 "Z" "Unbias"
"29" "B4GALT1" "B4GALT1" 34174138 34201950 0 0 0 0 1 0 4316 27812 1 0.000231696014828545 0 0.000231696014828545 "DIF" 1 -0.35107068311227 4.08053982662691 0.141984918800006 0.574071436413934 "Z" "Unbias"
"30" "BDP1" "BDP1" 34936049 34988648 0 1 0 1 1 1 10665 52599 2 9.3764650726676e-05 9.3764650726676e-05 0.000187529301453352 "DIF" 0.5 -0.000512410463581366 7.33038723018886 0.997414570911182 1 "Z" "Unbias"
"31" "BRIX1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.202524467344758 5.14514373000729 0.266870566391232 0.719664289302455 "Z" "Unbias"
"32" "BTF3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.1808959852367 6.47906496497742 0.217482418454913 0.670548864179644 "Z" "Unbias"
"33" "C7" "C7" 46171258 46195484 0 1 0 1 1 0 4232 24226 1 0.000236294896030246 0 0.000236294896030246 "DIF" 1 -0.119863479744431 7.78794503318088 0.719138418552639 0.942267156561774 "Z" "Unbias"
"34" "C9orf72" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.042771552547026 4.64401953586485 0.84198886667032 0.983927475653596 "Z" "Unbias"
"35" "CAAP1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.149523460891714 5.20438203788336 0.428895756206947 0.822894669687572 "Z" "Unbias"
"36" "CARNMT1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.334648724491767 6.18749799934104 0.0551048023845236 0.378334768961163 "Z" "Unbias"
"37" "CBWD1" "CBWD1" 61898225 61920048 0 0 0 0 0 1 1642 21823 1 0 0.000609013398294762 0.000609013398294762 "DIF" 0 0.130268190565937 4.88389090092714 0.472648391104076 0.849212518847493 "Z" "Unbias"
"38" "CCDC152" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0538287302258887 5.91538649088838 0.763403098829102 0.959939777229383 "Z" "Unbias"
"39" "CCNH" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.00696820457953238 6.0239252510371 0.974634993301509 1 "Z" "Unbias"
"40" "CDC14B" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.512779028846009 6.12365049718438 0.00149643391999397 0.0553057036264437 "Z" "Unbias"
"41" "CDC37L1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0788627720458357 5.25728082452648 0.685542464921263 0.932835036992278 "Z" "Unbias"
"42" "CDC42SE2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0272844805145522 7.51139161142619 0.850665617559012 0.986823464393659 "Z" "Unbias"
"43" "CDK7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0510179526181153 5.56034986726795 0.775392632934011 0.963101485307946 "Z" "Unbias"
"44" "CDO1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.295796387125969 5.38132539172551 0.265249837293226 0.717980252072344 "Z" "Unbias"
"45" "CEMIP2" "CEMIP2" 12585077 12635615 3 0 3 0 2 2 7338 50538 4 0.000272553829381303 0.000272553829381303 0.000545107658762606 "DIF" 0.666666666666667 -0.213179875972172 5.26893644262303 0.244109368123485 0.694846981938263 "Z" "Unbias"
"46" "CENPH" "CENPH" 11295835 11303511 0 0 0 0 0 1 1954 7676 1 0 0.000511770726714432 0.000511770726714432 "DIF" 0 -0.242159733949886 5.7838045073173 0.161021999382415 0.602447980168275 "Z" "Unbias"
"47" "CENPK" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.18928952398908 5.17658778020458 0.297567892296714 0.741251969339686 "Z" "Unbias"
"48" "CEP120" "CEP120" 24407941 24449369 3 0 2 0 2 0 5174 41428 2 0.000386548125241593 0 0.000386548125241593 "DIF" 2 0.151824171862227 5.98004652817422 0.346996943237632 0.774610518423374 "Z" "Unbias"
"49" "CEP78" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0520880763521553 5.98751957945926 0.742238187239753 0.951725778134535 "Z" "Unbias"
"50" "CERT1" "CERT1" 60223834 60304536 0 0 1 1 0 2 5166 80702 2 0 0.000387146728610143 0.000387146728610143 "DIF" 0 0.164042171238543 6.77077872511419 0.303657585922319 0.746667319343587 "Z" "Unbias"
"51" "CETN3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.187612244060467 6.39927806480175 0.247399129425096 0.699377141799652 "Z" "Unbias"
"52" "CFAP53" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.344529747109281 6.59322739368909 0.0162207962836299 0.212308586233415 "Z" "Unbias"
"53" "CHD1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.224434686039345 6.22827664786551 0.149216116167785 0.583235916135521 "Z" "Unbias"
"54" "CKS2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.227496972756449 7.78932203861131 0.100573498702303 0.494756434878138 "Z" "Unbias"
"55" "CLTA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0451512644457547 5.6787717652883 0.782234126471087 0.965812636441978 "Z" "Unbias"
"56" "CNTFR" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.00769691187625209 4.54420405856975 0.993661232173811 1 "Z" "Unbias"
"57" "COMMD10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0433830127582166 4.72846902499018 0.82141829676854 0.975695257542667 "Z" "Unbias"
"58" "CPLANE1" "CPLANE1" 44725613 44784876 1 0 1 1 2 1 10667 59263 3 0.0001874941408081 9.37470704040499e-05 0.00028124121121215 "DIF" 1 0.30263594811701 7.85065509262898 0.100606935082923 0.494756434878138 "Z" "Unbias"
"59" "CREB3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.160398177375971 6.39329506232082 0.293586919611662 0.738565353151009 "Z" "Unbias"
"60" "CSNK1G3" "CSNK1G3" 24313954 24393225 4 0 0 0 2 1 3192 79271 3 0.0006265664160401 0.00031328320802005 0.00093984962406015 "DIF" 1 0.255251108812959 7.0520529224253 0.221929212876222 0.674681190001509 "Z" "Unbias"
"61" "CTIF" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0954153590979858 5.38147249469131 0.640991126080443 0.917886590328125 "Z" "Unbias"
"62" "CTSL" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.254522244097403 6.47356363556177 0.106691833859756 0.503736994001906 "Z" "Unbias"
"63" "CWC27" "CWC27" 53293660 53390001 1 0 1 0 1 0 1768 96341 1 0.000565610859728507 0 0.000565610859728507 "DIF" 1 0.157314277560126 6.69001539418306 0.293172367718417 0.738565353151009 "Z" "Unbias"
"64" "CZH18orf25" "CZH18orf25" 35396436 35426145 5 7 25 31 0 1 3715 29709 1 0 0.000269179004037685 0.000269179004037685 "DIF" 0 -0.215098390645212 5.80184319572178 0.250911247952829 0.702881323247054 "Z" "Unbias"
"65" "CZH18orf32" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.315272765163455 6.37456263492978 0.0976059333169404 0.489771112740487 "Z" "Unbias"
"66" "CZH5orf34" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.136837565739002 3.76568063823825 0.604285145588606 0.904042119786251 "Z" "Unbias"
"67" "CZH5orf51" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.30306653521616 5.2058856818953 0.196331763552534 0.646316348973845 "Z" "Unbias"
"68" "CZH9orf40" "CZH9orf40" 13695217 13701371 5 0 3 0 1 0 2303 6154 1 0.000434216239687364 0 0.000434216239687364 "DIF" 1 -0.191649851722624 4.25887482837238 0.452609092752879 0.836613106222792 "Z" "Unbias"
"69" "CZH9orf64" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.191429997151274 3.5976280092957 0.441519749529774 0.828914373333088 "Z" "Unbias"
"70" "CZH9orf85" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0078226899723039 3.53415123497006 0.989178301576757 1 "Z" "Unbias"
"71" "DAB2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.227851980513593 4.65590605334131 0.274622142000532 0.727969636645548 "Z" "Unbias"
"72" "DAPK1" "DAPK1" 10709668 10795646 5 0 12 0 0 3 5658 85978 3 0 0.000530222693531283 0.000530222693531283 "DIF" 0 -0.538291006365336 4.36119679977344 0.0141527842446397 0.196472302682456 "Z" "Unbias"
"73" "DCAF12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.119712163726264 7.06841762599147 0.431645274121327 0.825127033326692 "Z" "Unbias"
"74" "DCP2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0622532581834461 8.20047055216305 0.673025790950569 0.928728988072684 "Z" "Unbias"
"75" "DCTN3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0876327331140792 7.31131631439505 0.526945404430968 0.873836186628357 "Z" "Unbias"
"76" "DDX4" "DDX4" 50098518 50118178 1 2 0 1 0 1 2149 19660 1 0 0.000465332712889716 0.000465332712889716 "DIF" 0 -0.608941053238492 7.74875050967741 0.00032099242230303 0.0205213640115521 "Z" "Unbias"
"77" "DENND4C" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.415806816635389 6.37981228088409 0.0154062682280425 0.206304579954607 "Z" "Unbias"
"78" "DGKQ" "DGKQ" 34441623 34529265 1 0 0 0 1 1 10203 87642 2 9.80103891012447e-05 9.80103891012447e-05 0.000196020778202489 "DIF" 0.5 -0.067155752382804 6.28494268239864 0.67826735402641 0.930932597838133 "Z" "Unbias"
"79" "DHX29" "DHX29" 49893739 49922731 0 1 0 0 0 1 6140 28992 1 0 0.000162866449511401 0.000162866449511401 "DIF" 0 -0.0772403155908329 5.48754757596594 0.663791670956811 0.92586331768099 "Z" "Unbias"
"80" "DMRT1" "DMRT1" 62175397 62238344 0 2 0 0 2 2 1958 62947 4 0.00102145045965271 0.00102145045965271 0.00204290091930541 "DIF" 0.666666666666667 -0.179776795971854 7.02037802752415 0.245981707329059 0.697659983563258 "Z" "Unbias"
"81" "DMXL1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0873963620326112 5.5846042965719 0.635826780170369 0.916069930080087 "Z" "Unbias"
"82" "DNAI1" "DNAI1" 40976255 41112882 0 0 0 0 1 0 2744 136627 1 0.000364431486880466 0 0.000364431486880466 "DIF" 1 -0.0438089793679247 6.75700494642297 0.772125229024029 0.961929690534391 "Z" "Unbias"
"83" "DNAJA1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.163507294761354 8.50725516590276 0.330523857569816 0.764452254702033 "Z" "Unbias"
"84" "DNAJB5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0524727930891924 4.67953567483305 0.884757272996391 0.997050066856005 "Z" "Unbias"
"85" "DNAJC21" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0675880771456436 6.00113753638032 0.692291704089168 0.93477253066756 "Z" "Unbias"
"86" "DNAJC25" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0108230089357433 4.23110842853446 0.971013869305527 1 "Z" "Unbias"
"87" "DYM" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0152978382804329 7.52971093639751 0.922243675572487 1 "Z" "Unbias"
"88" "ECPAS" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.207590133955112 7.80579638116757 0.163336346788927 0.607362597492136 "Z" "Unbias"
"89" "ELAC1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.00803787890487069 4.33109719301099 0.983381182259074 1 "Z" "Unbias"
"90" "ELAVL2" "ELAVL2" 30950329 31030898 0 0 0 0 2 0 22539 80569 2 8.87350814144372e-05 0 8.87350814144372e-05 "DIF" 2 0.109625436336653 7.5821661036623 0.420315281221331 0.819245352901144 "Z" "Unbias"
"91" "ELP1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0113968123450571 7.21584023778175 0.929986670163322 1 "Z" "Unbias"
"92" "EMB" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0955230415568085 9.63870821161531 0.503195322147017 0.861137040310352 "Z" "Unbias"
"93" "ENHO" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.340801951971287 2.76868844830217 0.239320707032242 0.689566937719366 "Z" "Unbias"
"94" "EPG5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.126777080387799 5.33103412109188 0.509356912534904 0.862973047081983 "Z" "Unbias"
"95" "ERBIN" "ERBIN" 53780910 53898348 0 0 3 1 1 0 8617 117438 1 0.000116049669258443 0 0.000116049669258443 "DIF" 1 -0.19775629615707 5.27368581521018 0.280314455757067 0.731779031983962 "Z" "Unbias"
"96" "ERCC6L2" "ERCC6L2" 10045621 10094639 13 1 2 0 2 2 5450 49018 4 0.00036697247706422 0.00036697247706422 0.00073394495412844 "DIF" 0.666666666666667 0.364727267654194 6.24376786397387 0.0509817556021715 0.36378132663901 "Z" "Unbias"
"97" "ERCC8" "ERCC8" 52007424 52036012 1 0 0 0 0 1 2889 28588 1 0 0.000346140533056421 0.000346140533056421 "DIF" 0 0.138281843358151 5.86713280889432 0.410473622408896 0.812688865975791 "Z" "Unbias"
"98" "ERMP1" "ERMP1" 63741886 63762562 2 0 4 1 1 2 4880 20676 3 0.000204918032786885 0.00040983606557377 0.000614754098360656 "DIF" 0.333333333333333 0.138065300043044 4.44874553804887 0.515899872651518 0.866924251991876 "Z" "Unbias"
"99" "F2R" "F2R" 59726260 59734936 0 0 0 0 1 1 1747 8676 2 0.000572409845449342 0.000572409845449342 0.00114481969089868 "DIF" 0.5 -0.0735720980886726 4.08459908942298 0.762510303842305 0.9598584462398 "Z" "Unbias"
"100" "F2RL1" "F2RL1" 59691456 59697268 0 0 0 0 0 1 2203 5812 1 0 0.000453926463912846 0.000453926463912846 "DIF" 0 0.298383425675768 6.18909639376664 0.0541725545863192 0.374498637251107 "Z" "Unbias"
"101" "FAM169A" "FAM169A" 60471809 60510269 1 0 0 0 6 4 5861 38460 10 0.00102371608940454 0.000682477392936359 0.0017061934823409 "DIF" 1.2 0.065015659735002 4.39434019118808 0.748605684081717 0.954897147271303 "Z" "Unbias"
"102" "FAM172A" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.300270290135778 7.22360586393905 0.0389058196842156 0.325089135346877 "Z" "Unbias"
"103" "FAM174A" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.144912945836494 4.64910900334702 0.473508908033493 0.850074921148093 "Z" "Unbias"
"104" "FAM214B" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.227563448701606 7.72833853188744 0.135791326773945 0.56295493504414 "Z" "Unbias"
"105" "FAM219A" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.516118244606177 6.3253881942305 0.011540634758368 0.177875269840748 "Z" "Unbias"
"106" "FANCG" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0030343164891811 4.74628380644825 0.999977751253554 1 "Z" "Unbias"
"107" "FBXL17" "FBXL17" 20737720 21018550 0 0 1 0 0 1 6494 280830 1 0 0.000153988296889436 0.000153988296889436 "DIF" 0 0.164263888714053 6.1202379371125 0.319351318861945 0.755642431098865 "Z" "Unbias"
"108" "FBXO4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.173652245769171 3.88699575435432 0.475052472887252 0.851311686551788 "Z" "Unbias"
"109" "FCHO2" "FCHO2" 61242477 61324258 0 0 0 0 1 2 5477 81781 3 0.000182581705313128 0.000365163410626255 0.000547745115939383 "DIF" 0.333333333333333 -0.159637878121954 5.53706302141975 0.364758768034295 0.784505008524245 "Z" "Unbias"
"110" "FEM1C" "FEM1C" 30022819 30119403 0 1 0 0 0 1 7089 96584 1 0 0.000141063619692481 0.000141063619692481 "DIF" 0 -0.199475961690669 6.07123597498618 0.226033763610579 0.679130963692433 "Z" "Unbias"
"111" "FER" "FER" 21102415 21263204 0 0 1 0 0 1 16579 160789 1 0 6.03172688340672e-05 6.03172688340672e-05 "DIF" 0 -0.0251068752357905 5.93555878485913 0.883500085062494 0.997050066856005 "Z" "Unbias"
"112" "FNTA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0147563215967034 6.5169628216058 0.942311676782494 1 "Z" "Unbias"
"113" "FOCAD" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0327553946191591 6.00013233206724 0.835047121288001 0.981259162796554 "Z" "Unbias"
"114" "FUT10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.0652037890044172 5.78350659399802 0.695608903915326 0.935728683043353 "Z" "Unbias"
"115" "FXN" "FXN" 69911988 69923365 0 0 1 0 0 1 2591 11377 1 0 0.000385951370127364 0.000385951370127364 "DIF" 0 -0.117503869365032 4.50330427963289 0.587497735450403 0.897106714341602 "Z" "Unbias"
"116" "GADD45G" "GADD45G" 7643488 7645206 0 0 3 0 0 1 1177 1718 1 0 0.000849617672047579 0.000849617672047579 "DIF" 0 0.172992557022713 4.50443363676746 0.431903794639237 0.825216053461779 "Z" "Unbias"
"117" "GAK" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.115142836660686 5.41099197678604 0.56086084451145 0.884730167872289 "Z" "Unbias"
"118" "GALT" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.00445617832920756 3.49812964214287 0.981255447477462 1 "Z" "Unbias"
"119" "GAS1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0461454867466598 7.2246945539318 0.790443294237166 0.968668216991776 "Z" "Unbias"
"120" "GBA2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.310451995655266 5.30110966253513 0.132215976983728 0.556061074610243 "Z" "Unbias"
"121" "GCNT4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.412906562416118 5.00966867184623 0.208321797556667 0.660114654125864 "Z" "Unbias"
"122" "GDA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.111078489746766 4.97712056859122 0.612372757985688 0.908435645482178 "Z" "Unbias"
"123" "GFM2" "GFM2" 60519279 60538444 1 0 0 1 2 3 4174 19165 5 0.000479156684235745 0.000718735026353618 0.00119789171058936 "DIF" 0.5 0.172389110702046 5.94678455314071 0.337856166393668 0.768673926125437 "Z" "Unbias"
"124" "GHR" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.329203606999215 4.87845549558397 0.0997425227160759 0.494212316915154 "Z" "Unbias"
"125" "GIN1" "GIN1" 18938580 18945688 3 0 0 0 1 1 2104 7108 2 0.000475285171102662 0.000475285171102662 0.000950570342205323 "DIF" 0.5 0.121861189152462 3.40299126232079 0.667423565891141 0.92700960169874 "Z" "Unbias"
"126" "GNE" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.00325991250926673 5.20734996024649 0.995177185267594 1 "Z" "Unbias"
"127" "GOLM1" "GOLM1" 54766563 54802374 0 0 0 0 0 1 3878 35811 1 0 0.000257864878803507 0.000257864878803507 "DIF" 0 -0.181710132832069 4.98529580498274 0.375345972219479 0.788422759198999 "Z" "Unbias"
"128" "GOLPH3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.165496650183654 5.84572518870552 0.32331977863592 0.759152996833799 "Z" "Unbias"
"129" "GPBP1" "GPBP1" 50649093 50687575 0 0 0 0 0 1 4358 38482 1 0 0.000229463056447912 0.000229463056447912 "DIF" 0 -0.183313207598868 6.31998859755804 0.427332964824844 0.822476219665736 "Z" "Unbias"
"130" "GPX8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.316522285626573 2.23522061686902 0.38867920574778 0.796450236855184 "Z" "Unbias"
"131" "GRAMD2B" "GRAMD2B" 29811333 29846775 1 0 0 0 0 1 3142 35442 1 0 0.000318268618714195 0.000318268618714195 "DIF" 0 -0.386481870749072 3.4438927450897 0.179017821575676 0.62724232773902 "Z" "Unbias"
"132" "HABP4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.557378958316342 6.96161960149245 0.000381290773315427 0.02338651014415 "Z" "Unbias"
"133" "HAUS1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.330033367631802 3.89369354126908 0.250537448024778 0.702881323247054 "Z" "Unbias"
"134" "HAUS6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0901230937981952 5.6484636235087 0.593239526865253 0.899729709888627 "Z" "Unbias"
"135" "HDHD2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.962653040532927 5.02209412743097 1.10592702986326e-06 0.000247034650330673 "Z" "Unbias"
